,location,sex,year,Ischemic_DR,Air Pollution,APM,DL_omega_6,DH_Pro_Meat,DH_red_meat,DH_sodium,DH_beverages,DH_fatty,DL_fiber,DL_fruits,DL_legumes,DL_nuts,DL_omega-3,DL_vegetables,DL_grains,Dietary_risks,HLDL,H_alcohol,H_body_mass,H_plasma,H_systolic,High_temp,HAPSF,KD,lead_expo,Low_temp,Metabolic risks,Non_op_temp,PM,sec_smo,smoking,Tobacco
0,Bangladesh,Both,1990,119.1241349,54.71196108,6.156914441,12.2957997,0.48483907,-0.045698028,4.224660861,0.010976406,5.210633492,23.09500671,18.06052131,7.430582422,20.10312649,10.27753099,14.57409122,7.879603184,64.4235702,29.35185314,-0.070175747,2.21192325,11.14419306,50.17602587,-0.057474686,48.54959626,16.70451992,13.01938329,4.212424156,79.40855498,4.152770923,54.71196108,5.054984641,26.30567315,30.35770174
1,Bangladesh,Both,1991,111.6178553,51.2455888,5.815181511,11.46230202,0.451635802,-0.043072498,3.882513448,0.01027801,4.856416419,21.55425846,16.86122558,6.999418161,18.61144051,9.450240216,13.588567,7.322639214,60.05655768,27.37993531,-0.070997126,2.078910434,10.57890681,47.19101316,-5.162554908,45.42428015,15.82753906,12.314824,2.625357709,74.57661434,-2.43068617,51.2455888,4.668686289,24.4427825,28.18402395
2,Bangladesh,Both,1992,111.4314835,51.14051228,5.835467016,11.41103524,0.449611376,-0.043317682,3.90443747,0.010294067,4.834911998,21.45541473,16.78985358,7.028671413,18.37857972,9.266554126,13.50979209,7.252878058,59.75294714,27.25489121,-0.075645226,2.098144046,10.70493759,47.33157299,0.266375803,45.29576078,15.91078179,12.38374953,4.769505332,74.64349099,5.017164658,51.14051228,4.633190057,24.05515709,27.77711242
3,Bangladesh,Both,1993,110.4808919,50.68805931,5.827661894,11.28221257,0.443768782,-0.043235755,3.902314039,0.010237363,4.785134467,21.19397535,16.5882382,7.009254805,18.02705352,8.993204954,13.32506182,7.13621668,59.02967607,26.90597884,-0.07996973,2.097897263,10.77174309,47.10596201,-0.417850354,44.85116593,15.8861214,12.39264145,3.989799194,74.16128249,3.581373904,50.68805931,4.559666728,23.65798501,27.32262968
4,Bangladesh,Both,1994,109.3950121,50.17669222,5.80595734,11.11060369,0.437215046,-0.04300714,3.894826661,0.010183024,4.730502058,20.87960763,16.33834765,6.960396619,17.63272757,8.694828784,13.10097618,6.998838581,58.1688344,26.48908558,-0.08364154,2.095205497,10.84623854,46.80192284,0.003992543,44.36135504,15.83905406,12.37551906,4.059482306,73.56760079,4.056701252,50.17669222,4.489262069,23.16083211,26.77444621
5,Bangladesh,Both,1995,111.7054737,51.22037898,5.958377304,11.2982292,0.446395866,-0.044196603,4.003796885,0.010522411,4.81973989,21.23490843,16.61178715,7.120875613,17.81994859,8.680892227,13.28518472,7.079505716,59.14219308,26.95022843,-0.089643014,2.166817804,11.25542643,47.88654071,0.444434073,45.25777168,16.24492572,12.72269158,4.453396052,75.23160828,4.872310048,51.22037898,4.569033526,23.34051745,27.02696319
6,Bangladesh,Both,1996,110.5022116,50.65324078,5.938733298,11.09738722,0.439850359,-0.043854776,3.990000354,0.010530858,4.742887539,20.87522341,16.31779138,7.031235313,17.42083604,8.355181322,13.00859581,6.925380876,58.15423325,26.49452274,-0.093130545,2.16260251,11.3668146,47.35299275,0.200708123,44.71657915,16.15577693,12.69843475,4.036119935,74.4575401,4.22320734,50.65324078,4.483139355,22.8777181,26.49730946
7,Bangladesh,Both,1997,109.4527864,50.15416256,5.918461363,10.90594336,0.434078654,-0.04347529,3.976556095,0.010580942,4.668524181,20.53248224,16.03399663,6.930943639,17.04529707,8.049337482,12.72437224,6.773042371,57.21332943,26.06585405,-0.096048815,2.166369417,11.53546717,46.79637896,-0.133310461,44.23767026,16.07256354,12.67271574,4.56481703,73.74120338,4.431933569,50.15416256,4.406878307,22.33281858,25.89899663
8,Bangladesh,Both,1998,108.2678539,49.59536265,5.89431114,10.71047736,0.428242987,-0.043014496,3.95464445,0.010645692,4.589282597,20.16028013,15.72505873,6.8098347,16.67594751,7.745097227,12.40054604,6.613141765,56.2092167,25.60118464,-0.0987699,2.169787793,11.70839575,46.04328969,0.45918555,43.70150215,15.96543135,12.62432175,4.087796676,72.85891891,4.524324639,49.59536265,4.319719134,21.80023901,25.3029734
9,Bangladesh,Both,1999,111.9048864,51.24726558,6.112108395,10.92347187,0.433246048,-0.043694834,4.231093642,0.011016706,4.681505571,20.49815989,15.95595433,6.9223331,16.92404097,7.750112343,12.48252837,6.681656358,57.48987842,25.96558122,-0.102588753,2.244275199,12.50207382,47.31452988,0.364475786,45.13237823,16.71930324,13.1110052,3.493868047,75.15357812,3.843528532,51.24726558,4.413075087,21.824606,25.42800549
10,Bangladesh,Both,2000,113.8278741,52.10926782,6.254813424,11.05306363,0.442708047,-0.044503686,4.421211219,0.011458881,4.74586239,20.73253067,16.11327803,6.977648091,17.08693931,7.668961399,12.46184003,6.724729783,58.15408938,26.06046035,-0.108046094,2.327315319,12.94744779,47.04256354,0.296314318,45.85326311,17.04877435,13.38583496,4.644666381,75.76965684,4.925701637,52.10926782,4.449818631,22.03880568,25.67705193
11,Bangladesh,Both,2001,113.142037,51.77192972,6.262264823,10.9233856,0.442416146,-0.044214625,4.516800331,0.011646926,4.621558585,20.46799821,15.87603548,6.855774042,16.86601128,7.410335212,12.09817058,6.610889501,57.41428919,25.53259702,-0.110656607,2.367713008,13.04277824,45.71058991,0.39306773,45.5082545,17.03552837,13.34174159,4.509951401,74.64430469,4.884067233,51.77192972,4.381983888,21.69027775,25.28250912
12,Bangladesh,Both,2002,115.0388637,52.61444298,6.405225139,11.00453268,0.449683142,-0.044664591,4.726251657,0.012039544,4.555021478,20.59813892,15.93329847,6.860948173,17.00169764,7.316132273,11.92492478,6.631523584,57.84542228,25.47207002,-0.115372886,2.456331632,13.47429727,46.06348162,0.349420943,46.19597534,17.52125349,13.58352158,3.945389396,75.59406213,4.280712969,52.61444298,4.416110953,21.65882797,25.29626872
13,Bangladesh,Both,2003,115.2209956,52.67660103,6.468939976,10.98980502,0.455521095,-0.044847004,4.862437073,0.01236733,4.411258864,20.52111733,15.83109076,6.795801371,16.98021396,7.113312138,11.57711596,6.59823416,57.55532791,25.45474759,-0.120080213,2.535275922,13.6198782,45.41023416,0.84054397,46.18361781,17.66683464,13.63674772,4.981531872,75.36919184,5.781732575,52.67660103,4.380582465,21.62171615,25.23552679
14,Bangladesh,Both,2004,113.2859827,51.76748029,6.419613842,10.81562647,0.456618793,-0.044563357,4.916952721,0.012535752,4.17852076,20.14280951,15.49581417,6.630367267,16.71907965,6.776091852,11.01033278,6.481328992,56.31239411,25.0999899,-0.122858373,2.59020531,13.46193156,44.28528053,0.823551013,45.3255831,17.38726744,13.46296523,4.186790371,73.97017481,4.976843568,51.76748029,4.242133596,21.46078755,24.95502544
15,Bangladesh,Both,2005,113.8169218,51.97400905,6.473429723,10.90850441,0.470315303,-0.045428284,5.077751723,0.012853344,4.027495367,20.23932043,15.52423513,6.623010628,16.86432855,6.602926857,10.65838973,6.522856931,56.33343531,25.36396629,-0.126580822,2.71801749,13.64110774,43.88652039,1.136015367,45.49788499,17.41549145,13.54110237,3.825843164,74.07177528,4.920620439,51.97400905,4.206325009,21.7380552,25.19992017
16,Bangladesh,Both,2006,116.990621,53.32000145,6.551995535,11.21076046,0.490090807,-0.047061266,5.381613662,0.013369943,3.935949694,20.71454484,15.82837029,6.74068627,17.33523022,6.526282067,10.47094492,6.693280381,57.49634518,26.07700227,-0.130673343,2.88944108,14.23219496,44.55740898,1.102178684,46.78873465,17.87033104,13.92026771,3.649016244,75.89485022,4.713979228,53.32000145,4.259472504,22.47154889,25.97586757
17,Bangladesh,Both,2007,117.5557157,53.40533208,6.326989045,11.22326416,0.492249074,-0.047470309,5.584112421,0.013520659,3.745386394,20.67597479,15.72795609,6.685100694,17.38041393,6.279934133,10.01056241,6.698957126,57.27553949,26.15119216,-0.129764686,3.003319018,14.58469325,44.256374,1.204442276,47.10285895,17.93121081,13.9654935,4.917645849,76.0654296,6.067411238,53.40533208,4.228646727,22.62798438,26.10908612
18,Bangladesh,Both,2008,114.8004593,51.97307633,5.872353948,10.95609123,0.482964127,-0.046731948,5.633683998,0.013345004,3.470218945,20.09351371,15.21930606,6.458400704,16.95515377,5.880658007,9.314812138,6.529534432,55.5405063,25.54027331,-0.124335792,3.056323911,14.54045126,43.06182274,1.056199911,46.11637482,17.44802578,13.58181796,4.342196462,74.3200842,5.355221935,51.97307633,4.114284651,22.10451832,25.49713835
19,Bangladesh,Both,2009,113.6999636,51.32378694,5.560734806,10.83422903,0.479481158,-0.046549996,5.785068189,0.0133328,3.250656928,19.78056566,14.91676326,6.32283907,16.75824364,5.576242331,8.792327721,6.451480458,54.61268229,25.25723657,-0.120611393,3.146199792,14.68508812,43.75086588,1.657487802,45.76645799,17.24675565,13.4123148,3.642579429,74.34064959,5.243188257,51.32378694,4.0697114,21.79138395,25.1565975
20,Bangladesh,Both,2010,114.7712261,51.75408736,5.495646643,10.88597721,0.482119697,-0.046989401,6.073787472,0.013500119,3.10314155,19.79734604,14.85804155,6.295503631,16.81456856,5.366823427,8.473926575,6.480025173,54.68109929,25.36645132,-0.118604116,3.277163996,15.13263745,45.74349423,2.012100816,46.25415803,17.45012814,13.50143212,4.227905202,76.03128252,6.160400106,51.75408736,4.109496617,21.71811169,25.13030436
21,Bangladesh,Both,2011,106.0731274,47.86855351,5.432575973,10.22394486,0.469076557,-0.045343932,5.611760683,0.01308477,2.775098462,18.55580672,13.88356237,5.848076373,15.78554406,4.794916417,7.589058184,6.089159631,50.63540733,24.11064571,-0.112261676,3.285066199,14.00169422,44.1948692,0.992628785,42.48458316,15.86721584,12.26977499,4.572703002,71.60405001,5.518839687,47.86855351,3.876649246,20.36125379,23.57799543
22,Bangladesh,Both,2012,101.4301383,45.85219299,6.030811918,9.944777131,0.474630736,-0.045414526,5.360765944,0.013181746,2.606482538,18.03481528,13.46698868,5.629805614,15.35879857,4.458025158,7.083988491,5.933938326,48.62207884,23.77533407,-0.109967802,3.429138442,13.35744241,45.14539921,1.595303796,39.96913767,14.95147734,11.50283404,4.898608433,70.34900512,6.411200688,45.85219299,3.81127154,19.74272946,22.90373802
23,Bangladesh,Both,2013,101.1835491,45.84412987,7.067084476,9.870476352,0.472518825,-0.045388609,5.404009202,0.013241048,2.593186669,17.8706311,13.29946989,5.555679562,15.22858486,4.230985484,6.881813586,5.903250404,48.18186157,23.61213392,-0.108916558,3.518693811,13.54558355,48.07945752,1.317989587,39.00104841,14.99865308,11.44656046,4.660175157,71.93509713,5.913016909,45.84412987,3.818770935,19.73416562,22.8996896
24,Bangladesh,Both,2014,106.690389,48.43967224,8.406334203,10.24458142,0.482777261,-0.04686253,5.762199006,0.013732051,2.700746054,18.48626031,13.70398917,5.738272697,15.7592142,4.216790719,7.067177931,6.125478775,50.1753589,24.33166723,-0.110714223,3.708719563,14.66951924,52.19717744,1.906122614,40.24392623,16.07485757,12.09781178,5.195968708,76.66242405,7.003286398,48.43967224,4.022796425,20.44896782,23.79363843
25,Bangladesh,Both,2015,105.0624016,47.73449421,8.69275932,10.07531068,0.48228369,-0.046781003,5.687018345,0.013794072,2.659214932,18.19269803,13.45791746,5.617467607,15.49185903,3.978898408,6.856530965,6.044660078,49.23236371,24.06077966,-0.109266856,3.794317552,14.57885976,52.44552668,1.405915596,39.03926689,15.84161468,11.79837911,4.224356972,76.1756366,5.570222625,47.73449421,4.014113688,20.20941502,23.54505556
26,Bangladesh,Both,2016,105.4010981,47.79561901,8.773644898,10.0775336,0.484536518,-0.047195949,5.724125688,0.013996768,2.659473969,18.15810792,13.40169453,5.590551694,15.43761687,3.794341218,6.786822972,6.047076506,49.13005497,24.07553672,-0.10914784,3.898781562,14.81375616,53.27788085,1.818350847,38.77214489,15.9087776,11.78115278,3.817428188,76.83802177,5.566095194,47.79561901,4.060217165,20.29132534,23.66337052
27,Bangladesh,Both,2017,109.3846268,49.34058632,9.160957653,10.29489248,0.488931445,-0.048164771,5.986274624,0.014369912,2.725758524,18.52837827,13.62870425,5.697426316,15.72409987,3.687030056,6.941178192,6.183435954,50.40035039,24.48215209,-0.110899787,4.016799768,15.70841775,55.59552028,1.631857757,39.83551876,16.63997012,12.26700313,4.20319712,79.85385373,5.769006779,49.34058632,4.19820381,20.9427661,24.42848675
28,Bangladesh,Both,2018,109.3504838,48.94047615,9.134311946,10.26197908,0.491199035,-0.048533858,5.990793629,0.01458088,2.721000675,18.44691972,13.53628028,5.652036442,15.61396097,3.484879583,6.882796075,6.161328678,50.13221308,24.44765482,-0.110353698,4.113550702,15.85876836,55.72379587,1.532542324,39.54636369,16.58788665,12.17943775,4.864371116,79.94365838,6.324329726,48.94047615,4.238340186,20.91448175,24.43362251
29,Bangladesh,Both,2019,108.7546891,48.2154344,9.023932918,10.1796193,0.49064075,-0.048642188,5.964125237,0.014719331,2.705833489,18.27182705,13.37524457,5.579558163,15.41828818,3.264496057,6.802083644,6.106624542,49.61751592,24.28803037,-0.109279445,4.17968531,15.89446291,55.37730308,2.151918788,39.18818456,16.49682075,12.03666079,4.40527927,79.52411674,6.46486643,48.2154344,4.252856654,20.78971207,24.3205666
30,Bangladesh,Both,2020,108.0717103,47.04117326,8.061957792,10.09195449,0.490811284,-0.048779426,5.924177213,0.014865541,2.694134197,18.10291901,13.21880756,5.508481365,15.22338071,3.129484822,6.734179907,6.054137914,49.12457601,24.13161359,-0.108194541,4.247870194,15.92074271,54.82224779,1.791427346,38.97335076,16.41311381,11.86759468,4.788977675,78.96517818,6.496303915,47.04117326,4.270907857,20.6244992,24.17043699
31,Bangladesh,Both,2021,107.5026744,47.66489857,8.91217252,10.0295814,0.487441827,-0.048671902,5.885401989,0.014798097,2.68537558,17.98959611,13.08846235,5.475568278,15.11070592,2.981994243,6.750338527,6.035001563,48.78959294,23.9957156,-0.107597175,4.312034296,15.93570827,54.22515363,1.839625185,38.74985173,16.34725792,11.71547294,4.185132313,78.4258321,5.948911406,47.66489857,4.289069684,20.49496021,24.05635788
96,Bhutan,Both,1990,106.7290845,46.75432988,6.580252483,10.66093846,0.471447389,-0.090008117,3.936217992,0.012969266,4.465605581,14.14971644,12.43496671,4.483271587,14.33719739,15.68792804,6.21690842,10.40729995,55.01524281,35.00364522,-1.210347601,6.95964617,10.31133729,49.46268481,-0.000461513,40.1712891,17.37936038,12.79262123,6.99458342,78.93837063,6.994185044,46.75432988,4.271241722,11.48061513,15.20532857
